year,education,age_group,employed,weight,rate
2009,advanced degree,16-24,not employed,68276.14046666668,0.31102470137963406
2009,advanced degree,25-34,employed,3131865.2962583345,0.8615307070468335
2009,advanced degree,25-34,not employed,503368.2138666666,0.1384692929531665
2009,advanced degree,35-44,employed,3992134.9309166647,0.8750132396420147
2009,advanced degree,35-44,not employed,570235.9568083333,0.12498676035798538
2009,advanced degree,45-54,employed,3991470.6334916665,0.8855663965330455
2009,advanced degree,45-54,not employed,515781.05211666663,0.11443360346695458
2009,advanced degree,55+,employed,3572100.1259749983,0.7363975561875319
2009,advanced degree,55+,not employed,1278676.599125,0.263602443812468
2010,less than hs,16-24,employed,3126354.2543833326,0.2318188823148319
2010,less than hs,16-24,not employed,10359839.032224998,0.7681811176851681
2010,less than hs,25-34,employed,2676507.172016666,0.5755981250879217
2010,less than hs,25-34,not employed,1973450.941741667,0.42440187491207815
2010,less than hs,35-44,employed,2696568.1080250014,0.5952386688339171
2010,less than hs,35-44,not employed,1833661.9479416672,0.4047613311660829
2010,less than hs,45-54,employed,2582736.7057166663,0.5416967616438064
2010,less than hs,45-54,not employed,2185127.6947999992,0.4583032383561936
2010,less than hs,55+,employed,1598855.9101749996,0.38080413443586975
2010,less than hs,55+,not employed,2599774.7389999996,0.6191958655641302
2010,high school,16-24,employed,5038451.020091668,0.5370017418656746
2010,high school,16-24,not employed,4344108.899708338,0.4629982581343253
2010,high school,25-34,employed,7687344.987808329,0.688107047563572
2010,high school,25-34,not employed,3484383.328341666,0.311892952436428
2010,high school,35-44,employed,8307354.143266667,0.7278410028824723
2010,high school,35-44,not employed,3106339.383708334,0.2721589971175277
2010,high school,45-54,employed,10296951.252941666,0.7152762569499296
2010,high school,45-54,not employed,4098817.0294416654,0.2847237430500704
2010,high school,55+,employed,6351625.968866669,0.5304595680851785
2010,high school,55+,not employed,5622191.3604999995,0.4695404319148214
2010,some college,16-24,employed,5813312.375958336,0.5503099054641958
2010,some college,16-24,not employed,4750394.2159750005,0.4496900945358043
2010,some college,25-34,employed,5494070.967275001,0.7106595806546775
2010,some college,25-34,not employed,2236875.2084083334,0.2893404193453225
2010,some college,35-44,employed,5005928.348833334,0.7605154856258488
2010,some college,35-44,not employed,1576354.9096249996,0.23948451437415122
2010,some college,45-54,employed,5596334.097425002,0.7520167765085263
2010,some college,45-54,not employed,1845433.5229833333,0.2479832234914738
2010,some college,55+,employed,3881876.916324999,0.580523583429656
2010,some college,55+,not employed,2804977.893933332,0.419476416570344
2010,associate,16-24,employed,1082888.8807583335,0.7090631623828105
2010,associate,16-24,not employed,444321.86464166665,0.2909368376171894
2010,associate,25-34,employed,3166002.952741666,0.7950051661472123
2010,associate,25-34,not employed,816364.8198916666,0.2049948338527878
2010,associate,35-44,employed,3332341.1232583355,0.8028465477562204
2010,associate,35-44,not employed,818316.4744749999,0.19715345224377956
2010,associate,45-54,employed,3749062.983874999,0.8019749459456849
2010,associate,45-54,not employed,925725.1785583333,0.1980250540543152
2010,associate,55+,employed,2304448.974375,0.6301868059898875
2010,associate,55+,not employed,1352322.24405,0.36981319401011253
2010,bachelor's,16-24,employed,2083845.6790333341,0.7509603283463618
2010,bachelor's,16-24,not employed,691062.1295083333,0.24903967165363808
2010,bachelor's,25-34,employed,7945272.868124998,0.8273538600751351
2010,bachelor's,25-34,not employed,1657961.3119916662,0.17264613992486483
2010,bachelor's,35-44,employed,7339523.079600002,0.8295116768992571
2010,bachelor's,35-44,not employed,1508481.4560749996,0.17048832310074308
2010,bachelor's,45-54,employed,6958010.059358337,0.821486582558813
2010,bachelor's,45-54,not employed,1512012.7104416667,0.17851341744118696
2010,bachelor's,55+,employed,4815467.388741669,0.6749127897212559
2010,bachelor's,55+,not employed,2319480.2105333325,0.32508721027874404
2010,advanced degree,16-24,employed,155163.976325,0.7280319310994988
2010,advanced degree,16-24,not employed,57964.00569999999,0.27196806890050124
2010,advanced degree,25-34,employed,3221173.205541668,0.855584859604953
2010,advanced degree,25-34,not employed,543705.4846083333,0.14441514039504708
2010,advanced degree,35-44,employed,3984507.021525001,0.8728126658552596
2010,advanced degree,35-44,not employed,580627.2591749999,0.12718733414474034
2010,advanced degree,45-54,employed,4048145.130849998,0.8856004017839937
2010,advanced degree,45-54,not employed,522929.0496666667,0.1143995982160063
2010,advanced degree,55+,employed,3662584.2962833326,0.7337573929411648
2010,advanced degree,55+,not employed,1328962.407733333,0.2662426070588352
2011,less than hs,16-24,employed,3035909.4473750014,0.22687426424222776
2011,less than hs,16-24,not employed,10345553.000625005,0.7731257357577722
2011,less than hs,25-34,employed,2611780.427608332,0.5708363781992777
2011,less than hs,25-34,not employed,1963576.9380999997,0.4291636218007223
2011,less than hs,35-44,employed,2624291.9586083344,0.601484254511919
2011,less than hs,35-44,not employed,1738734.9019000002,0.3985157454880809
2011,less than hs,45-54,employed,2553076.662925001,0.5429871155868227
2011,less than hs,45-54,not employed,2148833.547533333,0.45701288441317733
2011,less than hs,55+,employed,1600432.9475916673,0.3794413367368896
2011,less than hs,55+,not employed,2617433.6700916663,0.6205586632631105
2011,high school,16-24,employed,5026411.446125,0.5416382895375391
2011,high school,16-24,not employed,4253603.543983332,0.4583617104624609
2011,high school,25-34,employed,7677562.165500001,0.6813616667878671
2011,high school,25-34,not employed,3590406.873166667,0.3186383332121329
2011,high school,35-44,employed,7880865.228233327,0.7254476471374721
2011,high school,35-44,not employed,2982586.1308416664,0.27455235286252794
2011,high school,45-54,employed,9998152.184041664,0.7123661300489452
2011,high school,45-54,not employed,4036979.1372,0.2876338699510548
2011,high school,55+,employed,6550973.215699992,0.5342747372395726
2011,high school,55+,not employed,5710458.514250002,0.4657252627604273
2011,some college,16-24,employed,6077566.007033329,0.552844785372994
2011,some college,16-24,not employed,4915693.164133331,0.4471552146270061
2011,some college,25-34,employed,5503903.352683332,0.707994408653785
2011,some college,25-34,not employed,2270032.8329833336,0.292005591346215
2011,some college,35-44,employed,4929239.716991668,0.7519386031679282
2011,some college,35-44,not employed,1626135.5440000005,0.2480613968320718
2011,some college,45-54,employed,5396227.001183336,0.7504213946143291
2011,some college,45-54,not employed,1794702.042033333,0.24957860538567092
2011,some college,55+,employed,4020260.8903083336,0.583346280111395
2011,some college,55+,not employed,2871461.963466666,0.41665371988860495
2011,associate,16-24,employed,1117726.0189500002,0.6937830297769815
2011,associate,16-24,not employed,493333.8815916667,0.30621697022301847
2011,associate,25-34,employed,3270589.2111666654,0.7925133301562342
2011,associate,25-34,not employed,856267.822925,0.20748666984376582
2011,associate,35-44,employed,3335622.9345250013,0.8074715926280783
2011,associate,35-44,not employed,795324.7854666668,0.19252840737192164
2011,associate,45-54,employed,3733514.4667999954,0.7984180814298129
2011,associate,45-54,not employed,942625.2069333334,0.20158191857018717
2011,associate,55+,employed,2459006.7991750007,0.6224529703813434
2011,associate,55+,not employed,1491503.385825,0.37754702961865666
2011,bachelor's,16-24,employed,2032704.2126666661,0.745687518585479
2011,bachelor's,16-24,not employed,693242.1951833336,0.2543124814145211
2011,bachelor's,25-34,employed,8067712.08206667,0.8292106311632189
2011,bachelor's,25-34,not employed,1661676.059941667,0.17078936883678117
2011,bachelor's,35-44,employed,7253457.880266667,0.8260473179619237
2011,bachelor's,35-44,not employed,1527465.103858333,0.1739526820380764
2011,bachelor's,45-54,employed,7094340.399774996,0.8267378821034472
2011,bachelor's,45-54,not employed,1486783.7428916665,0.17326211789655277
2011,bachelor's,55+,employed,4962119.84365,0.6746510292221389
2011,bachelor's,55+,not employed,2392971.34975,0.32534897077786107
2011,advanced degree,16-24,employed,150079.47014166665,0.7289548441249715
2011,advanced degree,16-24,not employed,55803.61212499999,0.2710451558750286
2011,advanced degree,25-34,employed,3357445.340274999,0.8630768756130619
2011,advanced degree,25-34,not employed,532643.0575750001,0.1369231243869381
2011,advanced degree,35-44,employed,4221379.752841666,0.8785796571214854
2011,advanced degree,35-44,not employed,583397.7293416666,0.12142034287851465
2011,advanced degree,45-54,employed,4135059.2060416653,0.8840853993818172
2011,advanced degree,45-54,not employed,542157.7335583334,0.11591460061818287
2011,advanced degree,55+,employed,3730852.559991665,0.7405087057425015
2011,advanced degree,55+,not employed,1307376.6074166668,0.2594912942574984
2012,less than hs,16-24,employed,3040565.0114166667,0.22644590412218488
2012,less than hs,16-24,not employed,10386769.977058327,0.7735540958778152
2012,less than hs,25-34,employed,2513764.899766666,0.5748703937352659
2012,less than hs,25-34,not employed,1858985.7709249994,0.42512960626473406
2012,less than hs,35-44,employed,2634699.2193749994,0.6126063024811577
2012,less than hs,35-44,not employed,1666104.1003166663,0.3873936975188424
2012,less than hs,45-54,employed,2563927.7443416673,0.5508287958269906
2012,less than hs,45-54,not employed,2090744.9303000001,0.44917120417300943
2012,less than hs,55+,employed,1621890.6942000005,0.37587772729179914
2012,less than hs,55+,not employed,2693051.5767499995,0.6241222727082009
2012,high school,16-24,employed,5008701.220483334,0.5423572872470176
2012,high school,16-24,not employed,4226357.177841666,0.45764271275298246
2012,high school,25-34,employed,7550065.8702083295,0.6960287946043386
2012,high school,25-34,not employed,3297281.148675,0.3039712053956614
2012,high school,35-44,employed,7784188.843516664,0.7301767768288324
2012,high school,35-44,not employed,2876501.951558333,0.26982322317116764
2012,high school,45-54,employed,9746976.52205834,0.7102264568852248
2012,high school,45-54,not employed,3976782.1855583326,0.2897735431147753
2012,high school,55+,employed,6904208.9375249995,0.5386762817826772
2012,high school,55+,not employed,5912781.843425001,0.4613237182173227
2012,some college,16-24,employed,6349801.176583334,0.5598417200298559
2012,some college,16-24,not employed,4992335.269133331,0.4401582799701442
2012,some college,25-34,employed,5419537.024133335,0.7168670704931556
2012,some college,25-34,not employed,2140493.624791666,0.2831329295068445
2012,some college,35-44,employed,5021999.828666666,0.7561143134434887
2012,some college,35-44,not employed,1619852.7845916674,0.24388568655651133
2012,some college,45-54,employed,5344229.218041669,0.7486176124266105
2012,some college,45-54,not employed,1794567.8518249998,0.25138238757338943
2012,some college,55+,employed,4221564.114416665,0.5844184950947344
2012,some college,55+,not employed,3001965.171275001,0.41558150490526563
2012,associate,16-24,employed,1202476.19845,0.7205292325059947
2012,associate,16-24,not employed,466402.93122499995,0.27947076749400535
2012,associate,25-34,employed,3364929.3483666684,0.7997766896642257
2012,associate,25-34,not employed,842406.7641416667,0.2002233103357743
2012,associate,35-44,employed,3460933.4410999995,0.8152833447411442
2012,associate,35-44,not employed,784134.8083916666,0.1847166552588558
2012,associate,45-54,employed,3788472.2001166637,0.8012020810336291
2012,associate,45-54,not employed,940013.0220250003,0.19879791896637078
2012,associate,55+,employed,2702977.7834916664,0.6267993643212684
2012,associate,55+,not employed,1609371.4902166666,0.37320063567873163
2012,bachelor's,16-24,employed,2172462.081366666,0.7464019027057308
2012,bachelor's,16-24,not employed,738117.4247833336,0.2535980972942692
2012,bachelor's,25-34,employed,8324950.457658329,0.8346976915824429
2012,bachelor's,25-34,not employed,1648660.9966583336,0.16530230841755714
2012,bachelor's,35-44,employed,7372792.213408325,0.833558765391176
2012,bachelor's,35-44,not employed,1472165.7182,0.166441234608824
2012,bachelor's,45-54,employed,7275608.8477,0.8311408393981093
2012,bachelor's,45-54,not employed,1478152.8528666662,0.16885916060189066
2012,bachelor's,55+,employed,5324166.757758333,0.6769426692828682
2012,bachelor's,55+,not employed,2540851.9496583347,0.3230573307171317
2012,advanced degree,16-24,employed,140314.42213333337,0.7038763226306693
2012,advanced degree,16-24,not employed,59030.85717500001,0.2961236773693306
2012,advanced degree,25-34,employed,3458520.859575,0.8616560091823122
2012,advanced degree,25-34,not employed,555286.0688499999,0.1383439908176878
2012,advanced degree,35-44,employed,4363600.237591669,0.8817723799137874
2012,advanced degree,35-44,not employed,585069.4383833333,0.11822762008621257
2012,advanced degree,45-54,employed,4155288.7251500003,0.881451526425398
2012,advanced degree,45-54,not employed,558854.4813416668,0.11854847357460198
2012,advanced degree,55+,employed,3810371.173075,0.7277355615633485
2012,advanced degree,55+,not employed,1425557.0601000001,0.2722644384366515
2013,less than hs,16-24,employed,2901581.6952166655,0.2224425288290414
2013,less than hs,16-24,not employed,10142604.19176667,0.7775574711709586
2013,less than hs,25-34,employed,2483021.025141667,0.5806837388684315
2013,less than hs,25-34,not employed,1793008.8667583333,0.41931626113156856
2013,less than hs,35-44,employed,2599620.7325666663,0.6147976086631936
2013,less than hs,35-44,not employed,1628796.385416667,0.38520239133680634
2013,less than hs,45-54,employed,2525378.734966667,0.5522602553666061
2013,less than hs,45-54,not employed,2047426.7682833346,0.4477397446333941
2013,less than hs,55+,employed,1611619.544841667,0.374938197238044
2013,less than hs,55+,not employed,2686740.9762083343,0.625061802761956
2013,high school,16-24,employed,5227357.604358336,0.5513069062667858
2013,high school,16-24,not employed,4254398.464608335,0.44869309373321414
2013,high school,25-34,employed,7556487.30414167,0.6942604272097808
2013,high school,25-34,not employed,3327738.5684333337,0.3057395727902193
2013,high school,35-44,employed,7550774.671658331,0.7268902301766764
2013,high school,35-44,not employed,2837003.7826250005,0.2731097698233236
2013,high school,45-54,employed,9455184.813325005,0.713112985417482
2013,high school,45-54,not employed,3803842.867666667,0.2868870145825179
2013,high school,55+,employed,7240027.745283329,0.5445514213553677
2013,high school,55+,not employed,6055370.010291666,0.45544857864463234
2013,some college,16-24,employed,6271402.699925001,0.5541289534896147
2013,some college,16-24,not employed,5046184.407608333,0.4458710465103854
2013,some college,25-34,employed,5440665.690733333,0.7199784663331026
2013,some college,25-34,not employed,2116040.4402750004,0.28002153366689747
2013,some college,35-44,employed,5003175.504191671,0.7575996265798043
2013,some college,35-44,not employed,1600808.0890666668,0.2424003734201957
2013,some college,45-54,employed,5283965.993974995,0.7514063352213398
2013,some college,45-54,not employed,1748136.0076916672,0.24859366477866013
2013,some college,55+,employed,4192241.820774999,0.5781383564430141
2013,some college,55+,not employed,3059035.964299999,0.42186164355698597
2013,associate,16-24,employed,1295152.2909583335,0.7231140247409209
2013,associate,16-24,not employed,495923.86943333334,0.27688597525907904
2013,associate,25-34,employed,3501909.8704833346,0.8102111550600409
2013,associate,25-34,not employed,820308.9099083332,0.18978884493995907
2013,associate,35-44,employed,3423698.6305833315,0.8110527080334086
2013,associate,35-44,not employed,797603.6308750001,0.18894729196659144
2013,associate,45-54,employed,3748597.7424166673,0.79063138510711
2013,associate,45-54,not employed,992673.3644833331,0.20936861489289013
2013,associate,55+,employed,2842329.92405,0.6443721353587605
2013,associate,55+,not employed,1568676.9585916668,0.3556278646412396
2013,bachelor's,16-24,employed,2192990.3478750004,0.7378405511336464
2013,bachelor's,16-24,not employed,779183.4429333335,0.2621594488663535
2013,bachelor's,25-34,employed,8668677.221283345,0.8351580215957669
2013,bachelor's,25-34,not employed,1711007.8169083335,0.16484197840423304
2013,bachelor's,35-44,employed,7510973.861599997,0.8350235173213078
2013,bachelor's,35-44,not employed,1483951.0785916664,0.1649764826786922
2013,bachelor's,45-54,employed,7370129.586541663,0.8323227403483877
2013,bachelor's,45-54,not employed,1484764.3497416666,0.16767725965161223
2013,bachelor's,55+,employed,5449264.735741665,0.6808308445373557
2013,bachelor's,55+,not employed,2554580.5357583337,0.3191691554626443
2013,advanced degree,16-24,employed,177708.8301916667,0.7651753025812984
2013,advanced degree,16-24,not employed,54537.074233333326,0.23482469741870163
2013,advanced degree,25-34,employed,3575790.1261916696,0.865978178364978
2013,advanced degree,25-34,not employed,553401.8275166667,0.13402182163502202
2013,advanced degree,35-44,employed,4572275.868208333,0.8833021011151556
2013,advanced degree,35-44,not employed,604068.5132166666,0.11669789888484432
2013,advanced degree,45-54,employed,4196790.36644167,0.8758800487096718
2013,advanced degree,45-54,not employed,594722.3214249999,0.12411995129032803
2013,advanced degree,55+,employed,3830058.6929749995,0.72864991352395
2013,advanced degree,55+,not employed,1426318.3708083332,0.27135008647605
2014,less than hs,16-24,employed,2980076.3236833327,0.23332420726210748
2014,less than hs,16-24,not employed,9792178.894291667,0.7666757927378925
2014,less than hs,25-34,employed,2355523.1992250006,0.5737531405877265
2014,less than hs,25-34,not employed,1749941.3857916675,0.4262468594122735
2014,less than hs,35-44,employed,2655726.2440333334,0.6313835869376352
2014,less than hs,35-44,not employed,1550474.7073,0.36861641306236487
2014,less than hs,45-54,employed,2569923.318708333,0.5750124467045631
2014,less than hs,45-54,not employed,1899411.7947083327,0.42498755329543686
2014,less than hs,55+,employed,1714865.3670333333,0.38861201620813207
2014,less than hs,55+,not employed,2697930.1604083325,0.611387983791868
2014,high school,16-24,employed,5502783.335208339,0.5727792890041409
2014,high school,16-24,not employed,4104378.517266668,0.4272207109958592
2014,high school,25-34,employed,7693847.931933332,0.707181798775123
2014,high school,25-34,not employed,3185741.934858335,0.292818201224877
2014,high school,35-44,employed,7602448.214850004,0.738274302931757
2014,high school,35-44,not employed,2695144.6780083342,0.2617256970682431
2014,high school,45-54,employed,9295110.596933337,0.7183322126242756
2014,high school,45-54,not employed,3644738.728458332,0.28166778737572445
2014,high school,55+,employed,7457941.039900004,0.5545243273157464
